series_parallel,parallel
1079.2755790265342,451.704127096798
1366.1065017033193,492.97471347464136
1986.2754142503547,1238.7521674921848
1824.74069340209,714.8314101642859
1319.7190379327699,751.9039189060669
1402.6373543536122,791.8719817703551
1901.2927882117992,478.3636919712362
1605.877845454245,824.9533936781861
923.9270814047774,779.3554653610843
1059.622572147143,471.08463620215144
895.8601860001074,631.9720183415436
1017.3300238959313,492.1497786653756
1895.819749174484,828.8609153096245
991.9658180649011,533.1116910306492
1507.6643077200076,716.2658431527544
1732.2677464935985,6781.272999327564
1121.1185359329534,886.1433836216232
1051.550426380128,447.793841849943
1276.086987042266,506.6686648667152
1670.1716638729208,712.1396012615127
1453.4952303263115,585.7223534573665
1359.7140981940079,3531.545319149203
1256.5381848670993,685.2515920316561
627.2417344766347,481.9547119107917
665.7463465358998,493.48326017028717
1048.5490268796075,647.4926576531087
1319.451282932228,779.9894652467344
1496.5149674243066,1570.0662999019987
1763.3408000836723,765.7547244011
1707.0504721219208,601.9800333555374
1687.1966147262358,155327.09394328235
1141.481021013837,644.416576817143
1591.4893618435228,706.4422468364639
2115.856265423443,620.0590845362916
941.8781625422329,614.8421758927808
1201.945928877945,624.0407771845088
1553.1637740606516,1332.3016627083111
1008.2809407400553,681.8771973764558
1381.6892596104599,404.7495544708902
1000.1413748058575,685.451283435507
1837.4490272210646,772.4935161981621
1276.3993207655587,816.9229961960349
1765.6229452211453,992.2087242322888
1903.2939103118806,941.4900651421295
1267.0287668527376,1546.8267616761111
1806.8662500107744,646.3110357386417
957.5216712836117,621.4608370666377
1192.7006426174564,7709.927916029321
1369.4824674847441,866.2407218286206
1926.6603906050223,1086.5915299443618
635.3584710967843,1691.5096533135911
1300.2496536205492,1659.13845517268
990.5781300367486,2832.522661222649
384.96794836127424,951.7575021050108
2112.6585380135175,787.7992693539345
822.239665517292,501.2962866623035
968.1463038507432,703.7188213115186
930.2769385570015,875.356386177438
1337.9889034940722,14270.619088349355
2281.3368347780133,973.4688741203092
934.8577966063427,1521.9512750539427
1144.5424647281775,296.41250288465244
880.491381202109,784.6133445782591
1259.4690538353418,685.2734817177783
1369.3029858406521,467.69126779179385
832.2979266914848,714.1622910109127
1377.309854863186,546.5243367075412
941.1192931452215,534.105170935106
1149.7644564549553,705.9114448435299
1499.3264457410196,785.0130433928795
356.9096536818835,529.0499777183725
1209.47962021674,790.4186065811981
656.2925544761204,950.3409851205785
1226.7756121817788,465.3982546200145
1107.8435684469416,668.4938386399343
1827.8243938623993,622.5970945466339
1034.120772946514,665.6776485385366
1490.0017883105775,489.38999624626354
1337.705725621742,540.8985457746712
1311.1123214040997,836.9962224960357
1346.0470532062102,586.1667200870309
1855.7510356586251,823.1524726156129
601.2943848160777,475.40983476556534
1405.838788506911,792.1391602071235
1949.406917701225,828.1082907334226
1562.759784279451,757.9886076654059
1837.662893197843,327.48105502981656
1208.800281930435,794.9509557339695
1204.7413155677618,1107.6103793304494
929.9143019319991,779.1030167813232
1192.7159425078034,543.3281912310514
761.9064298354054,746.8467704521098
401.43134109644797,942.3226854945715
1408.862347342966,566.1340259695762
686.528506411521,663.2969070606767
528.7510829337368,743.4778352987569
1250.9031068471813,1386.3263416274153
1071.062823270202,863.0631252243727
1033.4928411896747,614.7334687327132
1045.3748561941459,801.5810016994141
