"ubar","ybar"
2.8,11.591416985440777
2.8499999999999996,12.713695816557124
2.8999999999999995,13.83597464767347
2.9499999999999993,14.95825347878981
2.999999999999999,16.080532309906157
3.049999999999999,17.202811141022497
3.0999999999999988,18.325089972138837
3.1499999999999986,19.447368803255184
3.1999999999999984,20.569647634371524
3.2499999999999982,21.69192646548787
3.299999999999998,22.81420529660421
3.349999999999998,23.936484127720558
3.3999999999999977,25.058762958836898
3.4499999999999975,84.5395410080031
3.4999999999999973,139.5312037327039
3.549999999999997,219.2130007419643
3.599999999999997,300.017076582341
3.649999999999997,408.87812320062636
3.6999999999999966,542.4293041034712
3.7499999999999964,763.5182338333907
3.7999999999999963,917.2704336963297
